date,day_depth,night_depth,growth,mass,length,egestion,excretion,consumption,p,day_temperature,night_temperature,day_P,night_P,site
2015-03-01,18.691,12.330838952887103,-1.8404053409836867,-1.5404053409836866,34.21338282880337,27.923338214568847,-0.25403679791201733,1.3402542520121015,8.0,7.949403038,8.507687972118052,8.0,0.0,fall creek
2015-04-01,18.003,18.003,-1.7528717883646552,-1.4528717883646551,34.21338282880337,26.633891788917406,-0.2555953446334002,1.3052896725453056,8.0,8.731948299,8.731948299,0.0,8.0,fall creek
2015-05-01,28.001,2.001,-1.4974821743650042,-1.1974821743650041,34.21338282880337,23.022919148452967,-0.31907744979323244,1.3027381401058469,8.0,8.600549976,16.68408741,0.0,8.0,fall creek
2015-06-01,27.727,27.727,-0.005786424043868588,0.2942135759561314,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-02,27.727,27.727,-0.005694878138734372,0.28851869781739703,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-03,27.727,27.727,-0.005604471208614459,0.28291422660878257,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-04,27.727,27.727,-0.005515192740362995,0.2773990338684196,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-05,27.727,27.727,-0.005427032287056377,0.2719720015813632,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-06,27.727,27.727,-0.0053399794690934255,0.2666320221122698,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-07,27.727,27.727,-0.005254023972811328,0.26137799813945845,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-08,27.727,27.727,-0.005169155550025506,0.25620884258943294,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-09,27.727,27.727,-0.005085364018489857,0.2511234785709431,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-10,27.727,27.727,-0.005002639261897229,0.24612083930904585,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-11,27.727,27.727,-0.0049209712280348095,0.24119986808101104,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-12,27.727,27.727,-0.004840349930167576,0.23635951815084347,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-13,27.727,27.727,-0.004760765446115894,0.23159875270472757,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-14,27.727,27.727,-0.004682207917794667,0.2269165447869329,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-15,27.727,27.727,-0.00460466755075184,0.22231187723618107,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-16,27.727,27.727,-0.004528134616013368,0.2177837426201677,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-17,27.727,27.727,-0.004452599445471522,0.21333114317469618,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-18,27.727,27.727,-0.004378052437418761,0.2089530907372774,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-19,27.727,27.727,-0.00430448404963063,0.20464860668764678,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-20,27.727,27.727,-0.00423188480536052,0.20041672188228626,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-21,27.727,27.727,-0.004160245289189429,0.19625647659309683,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-22,27.727,27.727,-0.004089556147948453,0.19216692044514838,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-23,27.727,27.727,-0.004019808090718474,0.1881471123544299,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-24,27.727,27.727,-0.00395099188744702,0.1841961204669829,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-25,27.727,27.727,-0.0038830983703316557,0.18031302209665123,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-26,27.727,27.727,-0.003816118431975324,0.1764969036646759,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-27,27.727,27.727,-0.0037500430272310037,0.1727468606374449,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-28,27.727,27.727,-0.0036848631695126366,0.16906199746793227,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-29,27.727,27.727,-0.0036205699344842024,0.16544142753344807,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-06-30,27.727,27.727,-0.003557154456831746,0.16188427307661632,34.21338282880337,0.0,0.0,0.0,0.0,8.735379209,8.735379209,0.0,0.0,fall creek
2015-07-01,28.034,2.034,-0.673829579890819,-0.37382957989081905,34.21338282880337,10.335979503428215,-0.1764922204681787,0.6347364723923629,8.0,8.767854363,24.12211622,0.0,8.0,fall creek
2015-08-01,20.294056825182157,20.2940588439073,0.018074067549839867,0.31807406754983986,34.84910881781362,0.30547124389342345,0.025457767400775114,0.6817555328137516,3.7045904397687606,9.289030264005389,9.289030017117334,1.3712266178771888,2.3333638218915715,fall creek
2015-08-02,20.294056825182157,20.2940588439073,0.018649666847183,0.33672373439702286,35.47963531009149,0.28207966784660216,0.02523988373712887,0.6502590753153716,3.59536267807715,9.289030264005389,9.289030017117334,1.3173400232436059,2.2780226548335443,fall creek
2015-08-03,20.294056825182157,20.2940588439073,0.019175746624212064,0.3558994810212349,36.103465694337125,0.2612789548947785,0.02497151158327441,0.6210202288578923,3.4922773014048794,9.289030264005389,9.289030017117334,1.2668928663943992,2.22538443501048,fall creek
2015-08-04,20.294056825182157,20.2940588439073,0.019655808640545724,0.37555528966178064,36.71944547934414,0.24275094012619458,0.02466461639606805,0.5938939570964554,3.3950923100864165,9.289030264005389,9.289030017117334,1.2197083907113182,2.1753839193750983,fall creek
2015-08-05,20.294056825182157,20.2940588439073,0.02009330003096438,0.395648589692745,37.326704370000805,0.2262121981468435,0.024329219183707895,0.568729809255245,3.3035200842806547,9.289030264005389,9.289030017117334,1.1755922207681628,2.127927863512492,fall creek
2015-08-06,20.294056825182157,20.2940588439073,0.020491526104593205,0.41614011579733823,37.924605346794905,0.21141320814196649,0.023973588815595175,0.5453782417043369,3.2172485623880966,9.289030264005389,9.289030017117334,1.1343432679807768,2.08290529440732,fall creek
2015-08-07,20.294056825182157,20.2940588439073,0.020853600319464927,0.43699371611680315,38.51270100894074,0.1981360346883658,0.02360446395530577,0.523694752322486,3.135956518227964,9.289030264005389,9.289030017117334,1.0957613032300992,2.0401952149978646,fall creek
2015-08-08,20.294056825182157,20.2940588439073,0.02118241977494878,0.45817613589175193,39.09069680712255,0.18619130759888425,0.023227276389147778,0.5035424072804633,3.059324227329614,9.289030264005389,9.289030017117334,1.0596519921776888,1.999672235151925,fall creek
2015-08-09,20.294056825182157,20.2940588439073,0.021480657608496434,0.47965679350024837,39.65842047788302,0.17541498781251852,0.022846359944365874,0.484793223592317,2.9870406364262774,9.289030264005389,9.289030017117334,1.0258300565265286,1.9612105798997488,fall creek
2015-08-10,20.294056825182157,20.2940588439073,0.021750766152867085,0.5014075596531155,40.215796876116414,0.16566520395270845,0.022465137367279557,0.46732876189568817,2.9188079449214834,9.289030264005389,9.289030017117334,0.9941210870630741,1.9246868578584093,fall creek
2015-08-11,20.294056825182157,20.2940588439073,0.021994986596856614,0.5234025462499721,40.76282740110862,0.15681931191936427,0.02208628259564894,0.45104019193935735,2.8543443117966065,9.289030264005389,9.289030017117334,0.9643624109783415,1.8899819008182652,fall creek
2015-08-12,20.294056825182157,20.2940588439073,0.02221536224638021,0.5456179084963523,41.29957326995594,0.1487712469411735,0.02171185878770629,0.43582802015204286,2.7933852328739235,9.289030264005389,9.289030017117334,0.9364033135327715,1.856981919341152,fall creek
2015-08-13,20.294056825182157,20.2940588439073,0.022413753479675114,0.5680316619760274,41.82614197763908,0.14142918778276325,0.021343434008168672,0.42160161288716547,2.7356839960275194,9.289030264005389,9.289030017117334,0.91010483310617,1.8255791629213494,fall creek
2015-08-14,20.294056825182157,20.2940588439073,0.022591853158079545,0.5906235151341069,42.342676375235925,0.13471352463093533,0.02098217714644308,0.4082786075632023,2.68101151402936,9.289030264005389,9.289030017117334,0.8853392866032168,1.7956722274261434,fall creek
2015-08-15,20.294056825182157,20.2940588439073,0.0227512017412419,0.6133747168753488,42.84934588706864,0.12855510759365454,0.020628936809801615,0.39578427391586535,2.6291557521671107,9.289030264005389,9.289030017117334,0.8619896357811889,1.767166116385922,fall creek
2015-08-16,20.294056825182157,20.2940588439073,0.02289320164241826,0.6362679185177671,43.34633946775912,0.12289374640766434,0.020284305822869074,0.38405086619075096,2.5799209057221226,9.289030264005389,9.289030017117334,0.8399487709625427,1.73997213475958,fall creek
2015-08-17,20.294056825182157,20.2940588439073,0.02301913060252536,0.6592870491202925,43.83385997077633,0.11767693044684671,0.01994867371704391,0.3730169921228279,2.533126436527766,9.289030264005389,9.289030017117334,0.8191187639393228,1.7140076725884432,fall creek
2015-08-18,20.294056825182157,20.2940588439073,0.02313015396306406,0.6824172030833565,44.31211965935739,0.11285873927087527,0.019622269292853475,0.362627014187087,2.488606044200818,9.289030264005389,9.289030017117334,0.7994101242257442,1.689195919975074,fall creek
2015-08-19,20.294859458511684,20.294941279403083,0.023290245498817974,0.7057074485821745,44.782593006213745,0.10900558595374464,0.019318843560226694,0.35384925904544606,2.453335533335834,9.288932102756636,9.28892209614393,0.7828721270368549,1.6704634062989794,fall creek
2015-08-20,20.296604735574125,20.29660460590368,0.023886278608945433,0.7295937271911199,45.25418049692071,0.23917357879810164,0.0159899457665101,0.47834506417683637,2.86033129360462,9.288718657127648,9.288718672986214,2.3077831021619715,0.5525481914426487,fall creek
2015-08-21,20.296604735574125,20.29660460590368,0.02452396551678193,0.7541176927079019,45.72747504599158,0.22924059934576416,0.01595585889789893,0.46693184776877983,2.8165650104762103,9.288718657127648,9.288718672986214,2.2764786123802305,0.5400863980959797,fall creek
2015-08-22,20.296604735574125,20.29660460590368,0.0251412047916022,0.779258897499504,46.20185594766926,0.2198408747965736,0.015910900625819364,0.45587054031421465,2.77379501744338,9.288718657127648,9.288718672986214,2.245807423763504,0.527987593679876,fall creek
