date,day_depth,night_depth,growth,mass,length,egestion,excretion,consumption,p,day_temperature,night_temperature,day_P,night_P,site
2015-04-18,4.082412953482867,18.118,0.06919555297526747,2.1726366547552365,63.796714060136175,0.03977260682524731,0.008965800623275426,0.13439861448968396,1.0,11.242610774898145,7.630910291,1.0,0.0,hills creek
2015-04-19,4.082412953482867,18.118,0.0707255046896118,2.2433621594448483,64.44311842606926,0.03942016626734949,0.008886351172361836,0.13320765602725373,1.0,11.242610774898145,7.630910291,1.0,0.0,hills creek
2015-04-20,4.082422997395679,18.118,0.07227220159397074,2.315634361038819,65.08938895247842,0.03907442245394034,0.008808408800959643,0.13203931946873407,1.0,11.24260675427746,7.630910291,1.0,0.0,hills creek
2015-04-21,4.082436358538982,18.118,0.07383560504819098,2.38946996608701,65.73551896407417,0.038735186130780745,0.00873193260163128,0.13089297051405066,1.0,11.242601405755412,7.630910291,1.0,0.0,hills creek
2015-04-22,4.082453168789507,18.118,0.075415675504654,2.464885641591664,66.38150192980416,0.03840227482423595,0.008656881427389181,0.12976799251532478,1.0,11.242594676541188,7.630910291,1.0,0.0,hills creek
2015-04-23,4.082473562331473,18.118,0.07701237250181947,2.5418980140934835,67.02733145842727,0.03807551282649003,0.008583215656240886,0.12866379168697042,1.0,11.242586512920278,7.630910291,1.0,0.0,hills creek
2015-04-24,4.082497675653035,18.118,0.0786256546808275,2.620523668774311,67.67300129425135,0.03775473088491833,0.00851089712117344,0.1275797960560537,1.0,11.2425768602559,7.630910291,1.0,0.0,hills creek
2015-04-25,4.082525646627016,18.118,0.0802554798044004,2.7007791485787114,68.31850531304926,0.037439765908451786,0.008439889044189927,0.12651545447072995,1.0,11.242565663356977,7.630910291,1.0,0.0,hills creek
2015-04-26,4.082557615891585,18.118,0.08190180477252262,2.782680953351234,68.9638375181218,0.037130460689712964,0.008370155973336393,0.12547023566029528,1.0,11.24255286592546,7.630910291,1.0,0.0,hills creek
2015-04-27,4.0825937254686915,18.118,0.08356458564180835,2.8662455389930424,69.60899203653268,0.03682666364216491,0.008301663723788958,0.12444362734798026,1.0,11.242538411109361,7.630910291,1.0,0.0,hills creek
2015-04-28,4.082634119225475,18.118,0.08524377763933266,2.951489316632375,70.25396311546685,0.03652822855113396,0.008234379321615441,0.12343513540927809,1.0,11.24252224131806,7.630910291,1.0,0.0,hills creek
2015-04-29,4.082678942872492,18.118,0.08693933518107722,3.0384286518134522,70.89874511874514,0.03623501433797064,0.00816827095061289,0.12244428307500854,1.0,11.242504298223002,7.630910291,1.0,0.0,hills creek
2015-04-30,4.259101023813408,18.118,0.08865553758763012,3.1270841894010823,71.54336366838432,0.035937634529073,0.008055475029774212,0.12130291430776169,1.0,11.163946354980501,7.630910291,1.0,0.0,hills creek
2015-05-01,13.816426267701974,28.001,0.1037679043907267,3.230852093791809,72.28214910476149,0.03919380577503224,0.008787305365432043,0.13229954890715348,1.0,11.167020861245808,6.929763394,1.0,0.0,hills creek
2015-05-02,13.816426267701974,28.001,0.10609044534742207,3.336942539139231,73.02084567392848,0.03884352393816497,0.008708771694009963,0.13111716490306088,1.0,11.167020861245808,6.929763394,1.0,0.0,hills creek
2015-05-03,13.816426267701974,28.001,0.10843901269389677,3.445381551833128,73.75944494988673,0.03849992811672174,0.008631737036476617,0.1299573496903142,1.0,11.167020861245808,6.929763394,1.0,0.0,hills creek
