date,day_depth,night_depth,growth,mass,length,egestion,excretion,consumption,p,day_temperature,night_temperature,day_P,night_P,site
2016-04-23,3.883473299606915,23.031,0.03874133530441237,0.9398416986919359,49.00808397084861,0.05023589487322183,0.011640030560488275,0.17068399065813533,1.0,11.631955477986232,7.885170896,1.0,0.0,fall creek
2016-04-24,3.8799205892651067,23.031,0.03986974554321299,0.9797114442351489,49.65306440529412,0.04965764912934243,0.01150803781879576,0.16872510366260174,1.0,11.634450732763414,7.885170896,1.0,0.0,fall creek
2016-04-25,3.8761586117216553,23.031,0.041014989034022564,1.0207264332691715,50.29806609466215,0.04909345341449697,0.011379371173409319,0.1668141581386602,1.0,11.637092966870282,7.885170896,1.0,0.0,fall creek
2016-04-26,3.8719390041285378,23.031,0.042177004636331894,1.0629034379055033,50.943076050785145,0.048542796093536233,0.011254045837736253,0.16494980440651597,1.0,11.640056618559152,7.885170896,1.0,0.0,fall creek
2016-04-27,3.8684989792528093,23.031,0.043355933152131154,1.1062593710576345,51.5880841187341,0.04800521911799164,0.011131278769898412,0.16312851863607647,1.0,11.64247272842428,7.885170896,1.0,0.0,fall creek
2016-04-28,3.8642945902444024,23.031,0.04455153713063176,1.1508109081882663,52.23307725223721,0.04748023073585705,0.011011798868621766,0.16135107972539706,1.0,11.645425691303045,7.885170896,1.0,0.0,fall creek
2016-04-29,3.8612732493692214,23.031,0.04576408185802938,1.1965749900462956,52.87804693073832,0.046967432911536294,0.010894469953979517,0.15961310175399632,1.0,11.6475477374388,7.885170896,1.0,0.0,fall creek
2016-04-30,3.8570881543207562,23.031,0.046993174682442795,1.2435681647287384,53.52297971200128,0.046466356836391144,0.0107804354644645,0.15791662985269764,1.0,11.65048714915772,7.885170896,1.0,0.0,fall creek
2016-05-01,9.118168131887629,23.007,0.054580034588901816,1.2981481993176403,54.25140193779028,0.0505289045787636,0.01145578318133819,0.1709396454673615,1.0,11.322383476910382,8.282848424,1.0,0.0,fall creek
2016-05-02,9.118168131887629,23.007,0.056207743806988564,1.3543559431246288,54.979930636649996,0.049935550997507884,0.011321259584727452,0.16893232605954542,1.0,11.322383476910382,8.282848424,1.0,0.0,fall creek
2016-05-03,9.118168131887629,23.007,0.05786064691226356,1.4122165900368924,55.708551308110565,0.049356857077940804,0.011190059588879817,0.16697460039203724,1.0,11.322383476910382,8.282848424,1.0,0.0,fall creek
2016-05-04,9.11818292892922,23.007,0.0595387263585434,1.4717553163954358,56.4372498559457,0.04879228448899531,0.011062052977931698,0.1650646231030772,1.0,11.322373125125296,8.282848424,1.0,0.0,fall creek
2016-05-05,9.118203283737948,23.007,0.06124196205615773,1.5329972784515935,57.16601256990263,0.04824132258120081,0.010937129297193477,0.1632006824109992,1.0,11.32235888521091,8.282848424,1.0,0.0,fall creek
2016-05-06,9.1182294826632,23.007,0.0629703316463115,1.595967610097905,57.89482611114696,0.047703484389850635,0.010815178083609657,0.16138113073399704,1.0,11.322340556841551,8.282848424,1.0,0.0,fall creek
2016-05-07,9.118261817588381,23.007,0.06472381050799925,1.6606914206059042,58.62367749789166,0.04717830589970262,0.010696094076553855,0.15960439812664015,1.0,11.322317935820033,8.282848424,1.0,0.0,fall creek
