date,day_depth,night_depth,growth,mass,length,egestion,excretion,consumption,p,day_temperature,night_temperature,day_P,night_P,site
2016-04-19,6.091060303542355,6.091060303542355,0.08628987982587732,1.366296982677706,55.13202276853834,0.12983952973644441,0.01288082969847551,0.2990438431836359,1.9861380205301533,10.853934809977426,10.853934809977426,1.8407262584652577,0.14541176206489553,hills creek
2016-04-20,6.0959824413872274,6.0959824413872274,0.09052067094172545,1.4568176536194315,56.256353410594585,0.12884642566890586,0.012640451864542601,0.2953065024625162,1.9970754318103714,10.849893178605209,10.849893178605209,1.85050515807207,0.14657027373830137,hills creek
2016-04-21,6.100670341180671,6.100670341180671,0.09471860375930263,1.5515362573787341,57.382679152108416,0.12687733164080225,0.01241677371516304,0.29049092789793085,1.9997189063809502,10.846043883142116,10.846043883142116,1.8526017874583849,0.14711711892256527,hills creek
2016-04-22,6.104683768533802,6.104683768533802,0.09870903235146211,1.6502452897301962,58.50737776668552,0.12312639298381313,0.01221704902558199,0.28364192516564574,1.986907911857619,10.842748405767905,10.842748405767905,1.8403890522333846,0.14651885962423436,hills creek
2016-04-23,6.109487671986446,6.109487671986446,0.10305976301332342,1.7533050527435197,59.6334791250422,0.12108643332378148,0.012010890914208448,0.27891756702413495,1.9874831043354533,10.838803858192193,10.838803858192193,1.840582817867128,0.14690028646832537,hills creek
2016-04-24,6.114419203368857,6.114419203368857,0.10751644860905363,1.8608215013525733,60.760920801485135,0.11911266252718683,0.011811643054465174,0.27434947613123084,1.9880235363968475,10.834754513664187,10.834754513664187,1.84074926869429,0.1472742677025577,hills creek
2016-04-25,6.119479242215053,6.119479242215053,0.11207940212813083,1.9729009034807041,61.88964277203945,0.11720203733264034,0.011618957897338723,0.2699301614299966,1.9885317788717898,10.830599649987072,10.830599649987072,1.8408906423584974,0.14764113651329228,hills creek
2016-04-26,6.124878239397123,6.124878239397123,0.11683253627598278,2.089733439756687,63.02038089575596,0.11572456555614623,0.011429308848456913,0.266097666605703,1.992350365266424,10.826166463213909,10.826166463213909,1.8441003453326787,0.14825001993374531,hills creek
2016-04-27,6.130175255203806,6.130175255203806,0.12160176740520745,2.2113352071618944,64.15216066390951,0.11386531840473184,0.011249230846154964,0.2618745298568546,1.992261830435639,10.821817014673837,10.821817014673837,1.843697736649613,0.14856409378602592,hills creek
2016-04-28,6.135537374784717,6.135537374784717,0.12645157186526035,2.3377867790271547,65.28470765020526,0.11196376857269379,0.011075670774104542,0.25766449341077824,1.9912263952416516,10.817414108578395,10.817414108578395,1.8424236079606657,0.1488027872809859,hills creek
